STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,NANJANGUD,KALALE N. KESHAVAMURTHY,INDIAN NATIONAL CONGRESS,65551
KARNATAKA,NANJANGUD,DAYANANDAMURTHY. H. S.,JANATA DAL (SECULAR),13679
KARNATAKA,NANJANGUD,DODDASWAMY,AMBEDKARITE PARTY OF INDIA,1363
KARNATAKA,NANJANGUD,BASAVARAJU. C.,ALL INDIA MAHILA EMPOWERMENT PARTY,753
KARNATAKA,NANJANGUD,CHIKKANNA,INDEPENDENT,621
KARNATAKA,NANJANGUD,RENUKA SURESH,INDEPENDENT,598
KARNATAKA,NANJANGUD,ANANDA MAHADEVANAGARA,INDEPENDENT,502
KARNATAKA,NANJANGUD,S. GOVINDANAYAKA,INDEPENDENT,468
KARNATAKA,NANJANGUD,C.M.NAGARAJ,DR. AMBEDKAR SAMAJVADI DEMOCRATIC PARTY,467
KARNATAKA,NANJANGUD,NONE OF THE ABOVE,NONE OF THE ABOVE,1947
KARNATAKA,HEGGADADEVANKOTE,ANIL KUMAR C,INDIAN NATIONAL CONGRESS,76652
KARNATAKA,HEGGADADEVANKOTE,CHIKKANNA,JANATA DAL (SECULAR),54559
KARNATAKA,HEGGADADEVANKOTE,SIDDARAJU,BHARATIYA JANATA PARTY,34425
KARNATAKA,HEGGADADEVANKOTE,J K GOPALA,BHARATIYA REPUBLICAN PAKSHA,1763
KARNATAKA,HEGGADADEVANKOTE,M S SHIVAKUMAR,INDEPENDENT,760
KARNATAKA,HEGGADADEVANKOTE,G N DEVADATTA,SAMANYA JANATHA PARTY (LOKTANTRIK),666
KARNATAKA,HEGGADADEVANKOTE,MANJULA N V,SAMAJWADI PARTY,632
KARNATAKA,HEGGADADEVANKOTE,NONE OF THE ABOVE,NONE OF THE ABOVE,1596
KARNATAKA,HUNASURU,ADAGURU H VISHWANATH,JANATA DAL (SECULAR),91667
KARNATAKA,HUNASURU,H P MANJUNATH,INDIAN NATIONAL CONGRESS,83092
KARNATAKA,HUNASURU,J S RAMESH KUMAR,BHARATIYA JANATA PARTY,6406
KARNATAKA,HUNASURU,HARISHA J M,INDEPENDENT,743
KARNATAKA,HUNASURU,SATHYANARAYANA,SAMAJWADI PARTY,498
KARNATAKA,HUNASURU,P S YADURAPPA,INDEPENDENT,332
KARNATAKA,HUNASURU,H B SHIVANNA,INDEPENDENT,319
KARNATAKA,HUNASURU,MOHAN H R,INDEPENDENT,282
KARNATAKA,HUNASURU,MALLESH,BHARATIYA REPUBLICAN PAKSHA,258
KARNATAKA,HUNASURU,H P LAKSHMANA,INDEPENDENT,243
KARNATAKA,HUNASURU,KHALANDAR SHARIFF,INDEPENDENT,240
KARNATAKA,HUNASURU,UMESH,INDEPENDENT,169
KARNATAKA,HUNASURU,HUNSUR K. CHANDRASHEKAR,DEMOCRATIC PRAJAKRANTHI PARTY SECULARIST,160
KARNATAKA,HUNASURU,D MARISWAMY NAYAKA,INDEPENDENT,156
KARNATAKA,HUNASURU,SYED GAFUR,ALL INDIA MAHILA EMPOWERMENT PARTY,129
KARNATAKA,HUNASURU,NONE OF THE ABOVE,NONE OF THE ABOVE,1534
KARNATAKA,KRISHNARAJANAGARA,SA. RA. MAHESH,JANATA DAL (SECULAR),85011
KARNATAKA,KRISHNARAJANAGARA,D. RAVISHANKAR,INDIAN NATIONAL CONGRESS,83232
KARNATAKA,KRISHNARAJANAGARA,H. G. SHWETHA GOPALA,BHARATIYA JANATA PARTY,2716
KARNATAKA,KRISHNARAJANAGARA,HOSAHALLI VENKATESH,INDEPENDENT,1743
KARNATAKA,KRISHNARAJANAGARA,VISHWANATHA H. R.,INDEPENDENT,304
KARNATAKA,KRISHNARAJANAGARA,K. L. SWAMY,SWARAJ INDIA,264
KARNATAKA,KRISHNARAJANAGARA,MALLESH,INDEPENDENT,196
KARNATAKA,KRISHNARAJANAGARA,KUMUDWATHI S.,RANI CHENNAMMA PARTY,186
KARNATAKA,KRISHNARAJANAGARA,SHANTHAMMA (SHANTHIRAJ),ALL INDIA MAHILA EMPOWERMENT PARTY,172
KARNATAKA,KRISHNARAJANAGARA,NONE OF THE ABOVE,NONE OF THE ABOVE,1193
KARNATAKA,PERIYAPATNA,K. MAHADEVA,JANATA DAL (SECULAR),77770
KARNATAKA,PERIYAPATNA,K. VENKATESH,INDIAN NATIONAL CONGRESS,70277
KARNATAKA,PERIYAPATNA,MANJUNATHA S,BHARATIYA JANATA PARTY,4047
KARNATAKA,PERIYAPATNA,GIRISH,JANA SAMANYARA PARTY (KARNATAKA),852
KARNATAKA,PERIYAPATNA,SRINIVAS P,INDEPENDENT,387
KARNATAKA,PERIYAPATNA,N S ANNEGOWDA,INDEPENDENT,385
KARNATAKA,PERIYAPATNA,SUMITHRA H K,ALL INDIA MAHILA EMPOWERMENT PARTY,248
KARNATAKA,PERIYAPATNA,MAHADEVA SWAMY,JANATA DAL (UNITED),206
KARNATAKA,PERIYAPATNA,DEVARAJ H B,BHARATIYA REPUBLICAN PAKSHA,192
KARNATAKA,PERIYAPATNA,MAHADEVA,REPUBLICAN SENA,174
KARNATAKA,PERIYAPATNA,NONE OF THE ABOVE,NONE OF THE ABOVE,1178
KARNATAKA,VIRAJPET,K G BOPAIAH,BHARATIYA JANATA PARTY,77944
KARNATAKA,VIRAJPET,ARUN MACHAIAH C S,INDIAN NATIONAL CONGRESS,64591
KARNATAKA,VIRAJPET,SANKETH POOVAIAH M,JANATA DAL (SECULAR),11224
